Time,TargetYaw,RealYaw,TargetHip,RealHip,TargetKnee,RealKnee
7.18309,-56.32035,-57.70761,7.127658,7.762387,114.9813,114.3936
7.199589,-56.59152,-57.60267,6.874995,7.37263,115.3125,114.8205
7.217106,-56.88337,-57.53359,6.630741,7.011873,115.6346,115.2143
7.233345,-57.22089,-57.50045,6.37562,6.674359,115.9724,115.5932
7.250726,-57.55922,-57.50294,6.142874,6.385833,116.2811,115.9413
7.266781,-57.55922,-57.50294,6.142874,6.385833,116.2811,115.9413
7.283201,-58.33284,-57.57206,5.674439,6.027577,116.9018,116.4142
7.299992,-58.75058,-57.67609,5.449371,5.709037,117.1982,116.8141
7.31664,-59.20343,-57.81224,5.222322,5.435729,117.4947,117.1607
7.333547,-59.67793,-57.97935,5.000033,5.192947,117.7817,117.476
7.349921,-60.18566,-58.17742,4.776911,4.964825,118.0655,117.7744
7.366573,-60.18566,-58.17742,4.776911,4.964825,118.0655,117.7744
7.383395,-61.25188,-58.449,4.347415,4.667031,118.5952,118.1759
7.400244,-61.83228,-58.75242,4.13124,4.383134,118.8515,118.5198
7.416488,-62.43846,-59.08345,3.916034,4.131906,119.0983,118.8145
7.43365,-63.0461,-59.43974,3.709435,3.913991,119.3263,119.0759
7.44869,-63.7124,-59.82468,3.491757,3.700185,119.5561,119.3219
7.466456,-63.7124,-59.82468,3.491757,3.700185,119.5561,119.3219
7.482911,-65.05363,-60.29064,3.076017,3.401534,119.9616,119.6368
7.500048,-65.75873,-60.78348,2.867047,3.11896,120.1473,119.8973
7.517111,-66.51514,-61.29016,2.648686,2.896081,120.3274,120.0891
7.533395,-67.28995,-61.82386,2.430222,2.694195,120.4929,120.2706
7.55013,-68.04868,-62.37301,2.220577,2.516672,120.6373,120.4138
7.566389,-68.04868,-62.37301,2.220577,2.516672,120.6373,120.4138
7.583122,-69.64055,-63.00783,1.791518,2.228662,120.8878,120.601
7.600024,-70.47388,-63.66541,1.571497,1.95098,120.9925,120.7556
7.616477,-71.33201,-64.34287,1.347528,1.68915,121.0823,120.8806
7.63345,-72.18208,-65.03738,1.127815,1.442433,121.1541,120.9797
7.650237,-73.07299,-65.75122,0.8995222,1.203284,121.2114,121.0593
7.667073,-73.07299,-65.75122,0.8995222,1.203284,121.2114,121.0593
7.683299,-74.8748,-66.55518,0.4429719,0.8880277,121.2738,121.1217
7.700231,-75.75942,-67.37615,0.2210454,0.5909923,121.2789,121.1612
7.716342,-76.69117,-68.21117,-0.01122883,0.3178528,121.2664,121.1804
7.733686,-77.58463,-69.05658,-0.2324928,0.06496622,121.2375,121.183
7.747938,-77.58463,-69.05658,-0.2324928,0.06496622,121.2375,121.183
7.766453,-79.35152,-69.98092,-0.6655746,-0.2545712,121.1317,121.1345
7.784075,-80.39278,-70.92333,-0.9176223,-0.564452,121.0391,121.0658
7.800058,-81.38561,-71.87428,-1.155374,-0.8490364,120.9298,120.9817
7.816888,-82.28624,-72.82545,-1.368572,-1.105442,120.8128,120.8876
8.078882,-83.2333,-80.36816,-1.589822,-1.457669,120.671,120.6433
8.091455,-96.84392,-81.73773,-4.038117,-2.282584,116.1663,118.4912
8.10364,-96.84392,-81.73773,-4.038117,-2.282584,116.1663,118.4912
8.112638,-97.94257,-83.17155,-4.123201,-3.153961,115.5495,116.9396
8.132061,-98.33151,-84.54418,-4.146417,-3.777752,115.3192,116.0579
8.147985,-98.33151,-84.54418,-4.146417,-3.777752,115.3192,116.0579
8.163383,-99.80388,-85.93224,-4.197165,-4.124292,114.3859,115.2094
8.180836,-100.417,-87.26303,-4.19892,-4.267015,113.9664,114.5725
8.194405,-101.0908,-88.53571,-4.185909,-4.291301,113.4827,114.0265
8.212928,-101.5989,-89.7381,-4.164797,-4.265812,113.1013,113.5649
8.22818,-101.5989,-89.7381,-4.164797,-4.265812,113.1013,113.5649
8.246782,-102.8027,-90.93075,-4.070718,-4.195136,112.1345,112.8703
8.263625,-103.4282,-92.07266,-3.993919,-4.117764,111.5936,112.23
8.281144,-103.9714,-93.15952,-3.909348,-4.03694,111.1001,111.6611
8.296388,-104.5128,-94.19174,-3.806478,-3.972198,110.5841,111.1134
8.312722,-104.9643,-94.69226,-3.704859,-4.015556,110.1336,110.8537
8.330643,-105.4278,-95.11385,-3.583718,-4.521737,109.6502,111.6354
8.346702,-105.4278,-95.11385,-3.583718,-4.521737,109.6502,111.6354
